Race Category,Distance,Elevation Gain,Mean Finish Time,Winning Time,N Participants,Year,Country,distance_std,elevation_std
50K,35.2,2030,4.9722,3.1583,163,2017,ES,-0.6190890904532196,-0.261783382541471
50K,34.5,1630,4.5411,3.3642,81,2018,ES,-0.6363646830532451,-0.47625923381904356
50K,34.6,1630,4.5033,3.2142,65,2019,ES,-0.6338967412532414,-0.47625923381904356
20K,27.2,1660,6.3384,3.4475,53,2017,CN,-0.8165244344535098,-0.4601735449732256
20K,28.1,1750,5.5513,3.3089,44,2018,CN,-0.7943129582534771,-0.4119164784357718
50K,50.1,2240,9.7445,6.2078,63,2017,CN,-0.25136576225267915,-0.1491835606207454
50K,51.2,2690,10.1592,6.4325,50,2018,CN,-0.22421840245263921,0.09210177206652372
100K,92.3,6510,24.8401,24.1489,14,2017,AT,0.7901056773488515,2.1403461517673414
100K,77.3,5700,20.1705,13.6697,47,2017,AT,0.41991440734830743,1.7060325529302571
100K,77.3,5690,15.8918,11.6411,47,2019,AT,0.41991440734830743,1.7006706566483178
100K,134.6,2540,28.5117,24.7333,9,2017,PY,1.8340450587503858,0.01167332783743401
100K,105.5,4970,27.9334,22.5125,7,2018,PY,1.1158739949493304,1.3146141243486873
50K,116.4,3600,17.6179,10.4031,156,2017,RU,1.3848796511497259,0.5800343337230013
50K,139.0,4980,19.3229,12.5639,172,2018,RU,1.9426344979505457,1.3199760206306266
50K,152.4,2450,18.5989,12.0225,113,2019,RU,2.273338699151032,-0.03658373870001981
100K,98.9,4330,23.2504,11.8272,935,2018,HK,0.9529898361490912,0.9714527623045711
100K,99.7,4440,23.8183,11.8592,805,2019,HK,0.9727333705491201,1.0304336214059036
100M,160.9,4440,26.8917,24.3556,10,2017,BR,2.4831137521513402,1.0304336214059036
100M,160.3,4730,31.7056,24.7267,23,2018,BR,2.4683061013513186,1.1859286135821436
50K,44.3,3270,12.4544,7.7864,42,2017,MX,-0.3945063866528897,0.4030917564190039
50K,44.7,3260,11.2353,6.4886,52,2019,MX,-0.384634619452875,0.3977298601370646
20K,19.4,1430,5.6325,2.5583,109,2017,MX,-1.0090238948537928,-0.5834971594578298
20K,19.7,1450,5.2536,2.8178,113,2019,MX,-1.0016200694537818,-0.5727733668939512
100K,62.8,5116,10.9572,8.4689,101,2017,AT,0.06206284634778143,1.3928978100650011
20K,19.7,720,1.8851,1.5914,50,2017,NO,-1.0016200694537818,-0.964191795475521
50K,42.6,2807,6.8304,4.1892,179,2014,ES,-0.4364613972529512,0.15483595856521368
50K,42.0,2550,6.5217,4.0447,260,2015,ES,-0.451269048052973,0.017035224119373325
50K,42.0,2550,6.4786,3.9058,316,2016,ES,-0.451269048052973,0.017035224119373325
20K,21.0,500,2.2661,1.4139,104,2017,US,-0.9695368260537348,-1.082153513678186
50K,50.9,2370,7.7407,4.5978,60,2017,MX,-0.23162222785265021,-0.07947890895553432
100K,139.8,7410,33.525,29.5667,14,2017,TH,1.9623780323505748,2.62291681714188
50K,42.0,1000,5.9341,3.26,98,2017,US,-0.451269048052973,-0.8140586995812203
50K,42.0,1000,5.9618,3.7333,105,2018,US,-0.451269048052973,-0.8140586995812203
100M,131.5,5100,27.0844,19.1619,34,2017,SK,1.7575388629502735,1.3843187760138984
100M,130.6,5470,28.1102,17.4167,67,2018,SK,1.7353273867502408,1.582708938445653
100M,130.5,5710,26.1461,15.7025,59,2019,SK,1.7328594449502372,1.7113944492121964
100K,105.0,5610,21.2743,14.4208,76,2023,SK,1.1035342859493122,1.6577754863928034
50K,48.8,2820,7.8187,4.8311,76,2017,ES,-0.2834490056527264,0.1618064237317348
50K,45.6,2950,8.1667,5.5347,76,2018,ES,-0.3624231432528424,0.23151107539694588
50K,45.7,2940,7.6927,4.6239,91,2019,ES,-0.3599552014528387,0.22614917911500657
50K,48.3,2040,6.609,4.6036,76,2016,FR,-0.29578871465274453,-0.25642148625953165
50K,46.2,2290,6.0061,4.0825,112,2017,FR,-0.3476154924528206,-0.12237407921104883
50K,46.2,2290,6.1733,4.1989,100,2018,FR,-0.3476154924528206,-0.12237407921104883
100K,100.0,7410,17.5831,12.4269,95,2017,ES,0.980137195949131,2.62291681714188
50K,91.6,6760,16.4887,10.9253,93,2018,ES,0.7728300847488261,2.2743935588158246
50K,91.4,6930,15.9369,10.2347,140,2019,ES,0.7678942011488191,2.365545795608793
50K,88.8,6750,18.3134,12.2281,94,2021,ES,0.7037277143487246,2.269031662533885
50K,81.3,6156,15.8552,9.9911,137,2022,ES,0.5186320793484525,1.9505350233866898
50K,81.0,6157,16.1806,10.3833,96,2023,ES,0.5112282539484417,1.9510712130148837
20K,23.5,800,3.353,2.0578,79,2017,AR,-0.9078382810536441,-0.9212966252200065
20K,23.4,810,3.3065,2.17,55,2018,AR,-0.9103062228536477,-0.9159347289380673
20K,23.1,800,3.9988,2.2089,87,2019,AR,-0.9177100482536585,-0.9212966252200065
20K,23.1,800,3.2192,2.1017,56,2021,AR,-0.9177100482536585,-0.9212966252200065
20K,23.0,955,3.2673,2.0144,53,2022,AR,-0.9201779900536622,-0.8381872328499472
50K,44.5,1110,5.3056,3.4586,197,2018,FR,-0.3895705030528823,-0.7550778404798878
50K,44.5,1110,5.7543,4.0806,34,2018,FR,-0.3895705030528823,-0.7550778404798878
20K,24.0,690,4.4162,2.0506,328,2017,CO,-0.8954985720536259,-0.980277484321339
20K,24.0,850,5.7302,2.3461,450,2018,CO,-0.8954985720536259,-0.89448714381031
20K,24.4,750,4.8544,2.0469,529,2019,CO,-0.8856268048536114,-0.9481061066297032
20K,24.5,760,4.8852,1.9236,448,2021,CO,-0.8831588630536078,-0.9427442103477638
20K,23.5,722,4.0171,1.9292,351,2022,CO,-0.9078382810536441,-0.9631194162191332
100K,106.2,3500,21.7037,14.2469,147,2018,AR,1.1331495875493558,0.5264153709036081
100K,118.6,4140,20.3597,15.1983,68,2019,AR,1.4391743707498055,0.8695767329477242
100K,110.0,4140,20.496,13.8133,129,2021,AR,1.2269313759494938,0.8695767329477242
100K,110.0,4140,20.3439,12.7703,117,2022,AR,1.2269313759494938,0.8695767329477242
20K,19.2,800,3.4236,2.0933,120,2018,IL,-1.0139597784538,-0.9212966252200065
20K,34.5,1480,4.6003,3.9756,123,2018,IL,-0.6363646830532451,-0.5566876780481332
50K,67.0,2580,9.2575,8.5308,92,2018,IL,0.16571640194793386,0.03312091296519126
20K,20.0,1290,2.4983,1.6336,97,2017,FR,-0.9942162440537711,-0.6585637074049802
20K,21.8,1480,3.0789,1.9267,100,2018,FR,-0.9497932916537059,-0.5566876780481332
20K,21.8,1470,3.1297,2.0944,80,2019,FR,-0.9497932916537059,-0.5620495743300725
100M,257.0,8294,47.2198,33.4781,22,2015,TR,4.854805821954826,3.0969084484653155
100M,253.5,7919,47.8462,33.6742,13,2016,TR,4.7684278589546985,2.895837337892591
100K,227.6,6180,44.2516,34.0078,16,2017,TR,4.129230932753759,1.9634035744633442
50K,60.8,3740,13.7597,9.6928,27,2017,CO,0.012704010347708877,0.6551008816701517
50K,61.3,3650,13.707,10.0097,14,2018,CO,0.025043719347727013,0.6068438151326978
20K,23.5,1350,3.8599,2.1714,61,2017,CO,-0.9078382810536441,-0.6263923297133444
20K,22.7,1420,4.0522,2.1969,81,2018,CO,-0.927581815453673,-0.5888590557397692
100M,118.7,5130,22.6533,13.7497,99,2014,FR,1.4416423125498092,1.4004044648597163
100K,119.7,4820,22.0466,13.8608,131,2015,FR,1.4663217305498455,1.2341856801195976
100K,119.7,4820,23.1778,14.8125,131,2016,FR,1.4663217305498455,1.2341856801195976
100K,119.7,4830,23.3464,15.6353,95,2017,FR,1.4663217305498455,1.239547576401537
100M,119.6,6010,23.8081,15.2119,189,2018,FR,1.4638537887498417,1.8722513376703758
100M,122.2,4830,22.9038,14.6978,171,2019,FR,1.5280202755499364,1.239547576401537
100M,120.0,5500,21.7885,12.6875,80,2021,FR,1.4737255559498563,1.5987946272914708
100M,115.3,5580,25.0247,17.1456,42,2022,FR,1.3577322913496859,1.6416897975469853
100K,108.3,5560,25.93,17.8233,49,2017,CN,1.1849763653494318,1.6309660049831067
100K,97.1,5280,23.5574,15.0322,74,2018,CN,0.9085668837490256,1.480832909088806
100K,101.1,3880,21.5666,12.1192,94,2019,CN,1.0072845557491708,0.7301674296173021
100K,101.1,3880,21.4468,10.7592,97,2020,CN,1.0072845557491708,0.7301674296173021
50K,53.8,1980,8.9462,5.8683,46,2017,CN,-0.16005191565254503,-0.28859286395116757
50K,54.0,2240,11.8564,7.9106,135,2018,CN,-0.1551160320525377,-0.1491835606207454
50K,54.2,2240,10.5099,6.515,116,2019,CN,-0.1501801484525304,-0.1491835606207454
50K,54.2,2240,10.2535,6.31,145,2020,CN,-0.1501801484525304,-0.1491835606207454
50K,53.8,1980,10.3002,10.165,12,2017,CN,-0.16005191565254503,-0.28859286395116757
20K,14.3,865,2.4732,1.3189,477,2017,CH,-1.134888926653978,-0.886444299387401
20K,14.0,990,2.308,1.2792,415,2018,CH,-1.1422927520539887,-0.8194205958631596
20K,14.3,970,2.2882,1.2183,350,2019,CH,-1.134888926653978,-0.8301443884270382
20K,14.3,970,2.1679,1.2689,268,2021,CH,-1.134888926653978,-0.8301443884270382
20K,14.1,715,2.3984,1.3261,232,2022,CH,-1.139824810253985,-0.9668727436164908
20K,15.0,791,2.1356,1.2478,307,2023,CH,-1.1176133340539525,-0.9261223318737519
50K,42.8,1130,6.8841,4.6833,99,2018,FR,-0.43152551365294406,-0.7443540479160092
50K,43.4,1380,6.8311,4.4956,100,2019,FR,-0.4167178628529223,-0.6103066408675264
20K,17.9,920,2.9165,1.4669,232,2018,CL,-1.0460430218538472,-0.8569538698367348
50K,46.0,2440,11.4248,7.4292,83,2017,TW,-0.35255137605282794,-0.04194563498195913
50K,46.6,2560,11.0477,6.43,91,2018,TW,-0.3377437252528061,0.02239712040131264
20K,30.8,1640,8.9566,6.0644,38,2017,TW,-0.7276785296533793,-0.4708973375371042
20K,31.8,1610,8.5755,4.7019,73,2018,TW,-0.702999111653343,-0.4869830263829222
100M,118.1,7960,31.5302,21.775,9,2017,CO,1.4268346617497873,2.917821112648542
100M,121.8,5980,22.5069,16.4797,11,2018,CO,1.5181485083499215,1.856165648824558
100K,77.1,5010,17.9577,12.0967,17,2017,CO,0.4149785237483001,1.3360617094764444
100K,80.4,4120,15.7006,9.4214,6,2018,CO,0.49642060314842007,0.8588529403838455
50K,50.0,2750,8.1111,5.6356,83,2017,US,-0.2538337040526828,0.1242731497581596
50K,50.0,2750,8.2587,5.1089,96,2018,US,-0.2538337040526828,0.1242731497581596
50K,50.0,2750,8.5532,5.1219,149,2019,US,-0.2538337040526828,0.1242731497581596
50K,50.0,2750,7.8493,4.7106,116,2020,US,-0.2538337040526828,0.1242731497581596
50K,50.0,2000,7.0554,4.6139,36,2014,HR,-0.2538337040526828,-0.27786907138728895
50K,52.5,1340,7.7316,5.3492,48,2015,HR,-0.19213515905259212,-0.6317542259952836
50K,40.7,2650,9.2519,5.9306,43,2017,CO,-0.4833522914530201,0.07065418693876646
50K,41.4,2740,10.6764,7.135,41,2018,CO,-0.4660766988529948,0.11891125347622028
20K,21.5,1100,4.851,2.3872,60,2017,CO,-0.9571971170537167,-0.7604397367618272
20K,22.8,1200,6.1268,2.7819,89,2018,CO,-0.9251138736536696,-0.706820773942434
50K,45.8,2520,9.3486,5.7292,112,2018,MX,-0.35748725965283523,0.0009495352735553826
50K,81.0,1600,10.1874,5.6853,259,2014,US,0.5112282539484417,-0.49234492266486146
50K,81.0,1600,10.187,6.2894,285,2015,US,0.5112282539484417,-0.49234492266486146
50K,81.0,1600,10.3507,6.6125,297,2016,US,0.5112282539484417,-0.49234492266486146
50K,81.0,1600,10.5375,7.2228,244,2017,US,0.5112282539484417,-0.49234492266486146
50K,30.3,2940,4.3261,3.2436,133,2017,IT,-0.7400182386533974,0.22614917911500657
50K,32.0,2400,3.7383,3.1914,29,2022,IT,-0.6980632280533358,-0.06339322010971637
20K,21.8,790,3.2978,1.865,38,2017,BO,-0.9497932916537059,-0.9266585215019458
20K,21.8,790,3.1574,1.8842,72,2018,BO,-0.9497932916537059,-0.9266585215019458
20K,21.8,840,3.1975,1.7489,41,2019,BO,-0.9497932916537059,-0.8998490400922493
100K,160.0,320,27.5874,22.67,2,2017,IN,2.4609022759513075,-1.1786676467530937
50K,101.3,1770,14.61,9.1664,90,2018,ES,1.012220439349178,-0.40119268587189316
50K,101.8,2690,13.8721,9.7161,132,2019,ES,1.0245601483491962,0.09210177206652372
20K,35.4,580,4.2563,2.7589,147,2021,ES,-0.6141532068532125,-1.0392583434226714
50K,91.7,1496,12.5229,7.6267,98,2022,ES,0.7752980265488298,-0.5481086439970303
50K,91.7,1496,12.2819,7.1858,126,2023,ES,0.7752980265488298,-0.5481086439970303
50K,47.4,1510,5.1032,3.9169,25,2017,FR,-0.31800019085277714,-0.5406019892023153
50K,47.5,1480,5.5229,4.1128,40,2018,FR,-0.3155322490527735,-0.5566876780481332
50K,48.2,1550,5.2691,3.9481,35,2019,FR,-0.298256656452748,-0.519154404074558
50K,48.7,1480,5.7715,4.0239,50,2021,FR,-0.2859169474527299,-0.5566876780481332
50K,48.7,1480,5.3428,3.7903,40,2022,FR,-0.2859169474527299,-0.5566876780481332
50K,48.7,1480,5.7145,3.8531,46,2023,FR,-0.2859169474527299,-0.5566876780481332
50K,48.0,730,6.4762,5.9167,7,2017,IN,-0.30319254005275537,-0.9588298991935817
50K,50.0,500,6.411,4.8781,5,2018,IN,-0.2538337040526828,-1.082153513678186
50K,80.5,150,12.2666,11.3833,4,2017,IN,0.49888854494842355,-1.269819883546062
20K,23.9,770,2.3808,1.8281,98,2017,FR,-0.8979665138536296,-0.9373823140658245
20K,25.7,840,2.8148,1.8958,70,2018,FR,-0.8535435614535642,-0.8998490400922493
20K,25.0,800,2.5614,1.9886,56,2019,FR,-0.8708191540535897,-0.9212966252200065
20K,25.0,850,2.6881,1.8967,58,2021,FR,-0.8708191540535897,-0.89448714381031
20K,25.0,850,2.6928,1.7061,64,2022,FR,-0.8708191540535897,-0.89448714381031
20K,25.0,850,2.7849,1.7869,81,2023,FR,-0.8708191540535897,-0.89448714381031
20K,26.8,1180,5.4264,2.8067,75,2017,TW,-0.8263962016535245,-0.7175445665063126
20K,26.5,1160,5.3064,2.8169,58,2018,TW,-0.8338000270535353,-0.7282683590701913
20K,26.5,1160,4.9631,2.6139,141,2019,TW,-0.8338000270535353,-0.7282683590701913
20K,35.7,1370,5.4123,3.1014,236,2018,ES,-0.6067493814532015,-0.6156685371494657
50K,35.8,1480,5.2031,3.0594,159,2019,ES,-0.604281439653198,-0.5566876780481332
100K,72.8,4580,13.0271,8.0681,110,2018,ES,0.30885702634814416,1.105500169353054
100K,73.1,4580,12.982,7.4281,103,2019,ES,0.316260851748155,1.105500169353054
20K,18.4,580,2.7334,1.4506,273,2018,ES,-1.033703312853829,-1.0392583434226714
20K,18.5,650,2.6851,1.5661,168,2019,ES,-1.0312353710538256,-1.0017250694490962
50K,80.0,160,10.9822,10.9822,1,2017,IN,0.4865488359484054,-1.2644579872641226
50K,80.0,160,11.3749,10.2553,9,2018,IN,0.4865488359484054,-1.2644579872641226
20K,28.0,1270,3.4016,2.3783,29,2017,IS,-0.7967809000534809,-0.6692874999688588
20K,28.1,1320,4.0051,2.6919,16,2018,IS,-0.7943129582534771,-0.6424780185591623
20K,28.1,1320,3.5222,2.1464,53,2019,IS,-0.7943129582534771,-0.6424780185591623
20K,28.0,1450,4.3151,2.6281,108,2021,IS,-0.7967809000534809,-0.5727733668939512
20K,28.8,1509,3.9854,2.5528,102,2022,IS,-0.7770373656534518,-0.5411381788305092
20K,29.1,1410,4.0703,2.4331,111,2023,IS,-0.7696335402534409,-0.5942209520217084
50K,50.0,100,6.7193,5.0217,13,2017,IN,-0.2538337040526828,-1.2966293649557585
20K,46.5,110,6.4123,5.2192,7,2018,IN,-0.34021166705280975,-1.2912674686738193
50K,40.7,3930,15.0465,11.5167,45,2018,ID,-0.4833522914530201,0.7569769110269986
50K,40.6,3600,14.4733,10.6508,22,2019,ID,-0.48582023325302376,0.5800343337230013
50K,43.0,3950,12.741,10.2831,18,2022,ID,-0.42658963005293676,0.7677007035908773
50K,43.0,3950,16.4448,13.53,6,2023,ID,-0.42658963005293676,0.7677007035908773
20K,25.0,1350,4.6803,2.3664,107,2017,US,-0.8708191540535897,-0.6263923297133444
20K,25.0,1350,4.7599,2.4958,115,2018,US,-0.8708191540535897,-0.6263923297133444
20K,25.0,1350,5.3814,2.4236,108,2019,US,-0.8708191540535897,-0.6263923297133444
20K,25.0,1500,6.191,3.1369,93,2020,US,-0.8708191540535897,-0.5459638854842546
20K,30.0,1500,5.1259,3.5811,52,2016,US,-0.7474220640534083,-0.5459638854842546
20K,30.0,1500,5.634,2.9361,52,2017,US,-0.7474220640534083,-0.5459638854842546
20K,30.0,1500,5.6911,3.6975,50,2018,US,-0.7474220640534083,-0.5459638854842546
100K,81.1,3780,11.6464,8.7536,47,2017,US,0.5136961957484452,0.6765484667979089
50K,58.4,1560,7.6949,5.6886,94,2017,FR,-0.046526592852378146,-0.5137925077926188
50K,60.7,1600,8.2315,5.6489,166,2018,FR,0.010236068547705389,-0.49234492266486146
50K,61.8,1630,8.785,5.6572,155,2019,FR,0.03738342834774515,-0.47625923381904356
20K,21.3,1000,3.3836,1.9944,178,2017,US,-0.962133000653724,-0.8140586995812203
20K,32.0,1500,6.2271,4.7561,31,2017,BE,-0.6980632280533358,-0.5459638854842546
20K,32.0,950,3.2921,2.6889,30,2017,BE,-0.6980632280533358,-0.8408681809909169
50K,50.4,1370,7.5679,4.9247,86,2018,MT,-0.24396193685266834,-0.6156685371494657
50K,52.0,1690,7.4108,4.7314,116,2019,MT,-0.20447486805261028,-0.44408785612740764
50K,52.0,1690,7.6774,4.9106,74,2020,MT,-0.20447486805261028,-0.44408785612740764
50K,52.2,1450,7.1513,4.4931,114,2021,MT,-0.19953898445260293,-0.5727733668939512
50K,52.0,2200,7.0949,4.2769,97,2022,MT,-0.20447486805261028,-0.17063114574850266
50K,52.0,2200,7.3861,4.6228,140,2023,MT,-0.20447486805261028,-0.17063114574850266
20K,28.2,1760,5.5877,3.2333,341,2017,AT,-0.7918450164534735,-0.40655458215383244
20K,28.5,1860,5.5563,3.2544,403,2018,AT,-0.7844411910534628,-0.35293561933443934
20K,28.0,1554,5.1264,3.2269,327,2023,AT,-0.7967809000534809,-0.5170096455617823
20K,15.1,980,2.3137,1.3428,466,2017,AT,-1.1151453922539487,-0.8247824921450989
20K,15.3,960,2.3239,1.4164,444,2018,AT,-1.1102095086539416,-0.8355062847089776
100M,161.8,8400,55.6789,47.9667,11,2017,CN,2.505325228351373,3.1537445490538722
100K,101.5,4802,19.0905,13.6667,21,2014,PT,1.0171563229491853,1.2245342668121069
100K,104.5,3790,21.7727,17.0264,37,2015,PT,1.0911945769492941,0.6819103630798482
100K,105.2,4800,21.9558,14.6497,45,2016,PT,1.1084701695493195,1.2234618875557188
100K,106.8,4790,20.7063,13.7317,53,2017,PT,1.1479572383493775,1.2180999912737795
100K,92.5,3760,15.4739,9.9139,70,2018,PT,0.7950415609488588,0.6658246742340302
100K,111.8,5000,20.2496,13.3061,76,2019,PT,1.271354328349559,1.3306998131945051
100K,98.2,4310,18.9552,13.2661,73,2021,PT,0.9357142435490656,0.9607289697406926
100K,99.8,5770,21.0076,14.4478,85,2022,PT,0.9752013123491236,1.7435658269038323
100K,99.8,5770,20.1115,13.4458,59,2023,PT,0.9752013123491236,1.7435658269038323
50K,54.8,1570,7.6002,6.0622,14,2017,CH,-0.13537249765250878,-0.5084306115106794
50K,51.3,2740,10.9755,6.5167,93,2017,CN,-0.22175046065263573,0.11891125347622028
50K,50.8,2960,11.9524,6.5683,273,2018,CN,-0.23409016965265386,0.23687297167888519
50K,51.3,2740,11.0487,8.5058,24,2017,CN,-0.22175046065263573,0.11891125347622028
20K,28.1,1730,7.1073,4.0256,158,2017,CN,-0.7943129582534771,-0.4226402709996504
50K,31.7,2330,9.1905,4.2194,471,2018,CN,-0.7054670534533467,-0.10092649408329157
20K,28.4,1860,6.9558,3.6272,356,2019,CN,-0.7869091328534664,-0.35293561933443934
50K,29.9,2060,7.483,3.9761,498,2020,CN,-0.7498900058534119,-0.24569769369565306
